vessel_id,idle_hours,fuel_cost_per_hour_usd,co2_emission_kg_per_hour,total_delay_cost_usd
VSL100000,29.509946757776035,3228.165647784738,356.8642727466728,98259.25953637608
VSL100001,31.18095498277617,3176.5415796342386,547.4822735075612,189799.0346359288
VSL100002,40.24305732817323,3850.3101145753635,1163.2156125306994,45544.822239153895
VSL100003,28.858643357100718,2716.6783010127056,883.3424092991022,7178.294620570128
VSL100004,15.205155889938196,1769.5460325985473,1050.336664612722,76316.60572873437
VSL100005,35.2040021510393,2870.39108291131,781.3470972831793,149110.50144238502
VSL100006,20.770870588378717,1426.613197008203,216.09939305559985,57544.31499770917
VSL100007,40.72518079916113,2931.9617993184143,936.3344432419185,28666.559842889725
VSL100008,36.09302652643269,1673.155573180924,567.1854735490174,178849.67087970805
VSL100009,26.452542030826912,2979.8741543780948,602.3196399131969,111893.18713577522
VSL100010,22.40566798589748,1650.805114642086,1462.5788629682695,105969.99964131898
VSL100011,30.844239702892786,2194.027305936538,1283.1266057382234,155935.80575922123
VSL100012,23.501348378097425,2380.5961158314713,655.7191245316885,156365.37049816613
VSL100013,39.98948173420861,4311.494606081775,878.9831677530258,73603.69799753476
VSL100014,46.43594868664555,4624.437100543668,404.1021834130537,11321.896905643764
VSL100015,29.606297847167873,2808.0934020204377,493.28354016553124,188727.72658299367
VSL100016,5.147042442286844,2583.1881738447,444.8440779423104,60478.5961992911
VSL100017,2.228856367138061,3765.6011573963906,758.5991267984406,108298.15304373293
VSL100018,25.26374966612105,2035.898896597089,697.4097532194999,160337.21757384556
VSL100019,29.459650407775936,4956.051227922773,770.5452559242074,164325.49155001374
VSL100020,24.738038300135173,2841.874426991821,1171.282837939228,194049.62081892497
VSL100021,39.032062698762346,3302.7157930345124,477.00583125696863,175509.81605023044
VSL100022,39.76002985281821,1728.1352175703191,519.9185149024756,147180.50406250323
VSL100023,12.993453975220135,2341.39474905215,931.1717586578543,32358.59146507217
VSL100024,10.888996189944152,1664.9172316275735,925.7068125482284,44614.27331493741
VSL100025,24.96071404602742,1654.1050350488713,1025.5685588474435,60058.25788049693
VSL100026,11.347120750393861,3745.3764547525916,871.4744974944011,78577.33328280285
VSL100027,18.84381295927958,3792.3623433620273,1048.2526480634276,142466.31154184535
VSL100028,32.56605632862831,2351.2730642090783,429.29372022905966,38685.99881300432
VSL100029,4.264378401416861,1853.1293632007687,1040.8271606615517,32826.09477203372
VSL100030,46.05343785152692,1672.40388771272,256.17106953975167,142217.5465976268
VSL100031,26.44417083239044,1478.360244704646,829.7279621512312,109296.1050781753
VSL100032,32.40204228158351,1878.4260406831008,520.7556786381576,48533.5774258456
VSL100033,0.2959582816455324,3757.176586332245,302.2879613018315,136065.9320789546
VSL100034,14.385028761103845,3634.308492497723,850.8275803533862,60810.70118899454
VSL100035,5.456137944861418,1967.8848262726299,383.1918776610232,78783.26699098511
VSL100036,38.89705503701355,4612.761340556866,1240.8549560562267,99919.84880291087
VSL100037,17.840882605040647,3124.5110068688587,1085.9649833646495,94713.70421798155
VSL100038,27.473538727513652,2649.642302726873,995.0516256125379,31735.3248818454
VSL100039,43.47087968909352,4869.354059808278,968.9774819471817,97925.76830941116
VSL100040,34.93472390775933,1721.1648434675221,1428.3561769565717,194175.2059818959
VSL100041,33.94358600324664,941.9135239277957,714.1498161200194,98262.82358434488
VSL100042,35.47603562286654,2081.436492565006,359.9208076727342,136584.45811175276
VSL100043,15.061602965476439,2637.463243551828,426.2111884039838,115065.78293517679
VSL100044,27.78169550663703,4966.468526440894,770.0001013674548,182941.5203063939
VSL100045,47.16163770944318,3570.4055120673684,385.39270500706715,13778.201843867688
VSL100046,16.725472575589905,4241.324138634305,686.1902890341735,18725.79204666697
VSL100047,5.020868017059218,4713.066936040863,1033.7606917756675,101687.54003758718
VSL100048,31.904413392436318,4394.054435050548,706.8300482168056,94006.40898171827
VSL100049,33.833224162828444,2291.700177405039,225.45769500454497,38149.62077667444
VSL100050,17.443637665410428,1178.724295213159,203.87790669761011,43611.84212656816
VSL100051,0.8819521280362377,4969.165719583065,527.4820328961177,9325.300060232992
VSL100052,3.876958090103578,1856.8248992742829,1093.0554332298939,190043.2312032631
VSL100053,46.55453628735158,4982.763222137062,920.285860368027,36855.54370308556
