timestamp,mmsi,mmsi_was_missing
2023-01-01 00:00:00+00:00,c13dd09effa4eb8a,0
2023-01-01 00:01:00+00:00,07a199518f1e3d75,0
2023-01-01 00:02:00+00:00,492b07ed6dbe2e61,0
2023-01-01 00:03:00+00:00,53c6e98a68c43332,0
2023-01-01 00:04:00+00:00,e75a58288e91f5d2,0
2023-01-01 00:05:00+00:00,f262d61be7d7ef24,0
2023-01-01 00:06:00+00:00,081b39a7cf3046ec,0
2023-01-01 00:07:00+00:00,c142df0eaef1ebc4,0
2023-01-01 00:08:00+00:00,3cca9ce4837b2838,0
2023-01-01 00:09:00+00:00,cbcf64f97b0966b7,0
2023-01-01 00:10:00+00:00,8da24ded1d03b952,0
2023-01-01 00:11:00+00:00,dbc65916291e20dc,0
2023-01-01 00:12:00+00:00,cdba7efd7965ab0a,0
2023-01-01 00:13:00+00:00,b0d1de7e331747d4,0
2023-01-01 00:14:00+00:00,d490e6b2cbdf2ce0,0
2023-01-01 00:15:00+00:00,8f271a92f8446477,0
2023-01-01 00:16:00+00:00,dcf4e950547579af,0
2023-01-01 00:17:00+00:00,8360479709319b13,0
2023-01-01 00:18:00+00:00,bb40525ec9b057df,0
2023-01-01 00:19:00+00:00,f8ad08977185a620,0
2023-01-01 00:20:00+00:00,a9da9a323e3eaa66,0
2023-01-01 00:21:00+00:00,cafc383b8aa187eb,0
2023-01-01 00:22:00+00:00,c3ab0c3fb6a5074c,0
2023-01-01 00:23:00+00:00,e91942deba008875,0
2023-01-01 00:24:00+00:00,8229e2758cafd42b,0
2023-01-01 00:25:00+00:00,907d85fd07895228,0
2023-01-01 00:26:00+00:00,e519ef8fe4b0f73b,0
2023-01-01 00:27:00+00:00,eae68a5f64da7b2e,0
2023-01-01 00:28:00+00:00,22cb094c8abf5cef,0
2023-01-01 00:29:00+00:00,cb7b4643f24d1d81,0
2023-01-01 00:30:00+00:00,ba44416b9134a4b0,0
2023-01-01 00:31:00+00:00,be10541db4338fbd,0
2023-01-01 00:32:00+00:00,acab6668067acb19,0
2023-01-01 00:33:00+00:00,4237c2dda8c8375d,0
2023-01-01 00:34:00+00:00,c1b6880c36aeef6c,0
2023-01-01 00:35:00+00:00,32f44ab068779e18,0
2023-01-01 00:36:00+00:00,c6d53e7ad55c0c21,0
2023-01-01 00:37:00+00:00,a2dfab0784faa899,0
2023-01-01 00:38:00+00:00,542c0c53491c21ea,0
2023-01-01 00:39:00+00:00,3ca11cfc0ec85b7c,0
2023-01-01 00:40:00+00:00,1d5d2c82754a03aa,0
2023-01-01 00:41:00+00:00,38f77e1164f6cf82,0
2023-01-01 00:42:00+00:00,dd13f800ef14cd5f,0
2023-01-01 00:43:00+00:00,784d00000dfe9779,0
2023-01-01 00:44:00+00:00,6eead7f8600c7933,0
2023-01-01 00:45:00+00:00,004a2962baeaa9ea,0
2023-01-01 00:46:00+00:00,172b9393d3d8a3a4,0
2023-01-01 00:47:00+00:00,898a68b00bc4701f,0
2023-01-01 00:48:00+00:00,5115b54038d82875,0
2023-01-01 00:49:00+00:00,baad988213441d88,0
2023-01-01 00:50:00+00:00,27e465e445c8196f,0
2023-01-01 00:51:00+00:00,ed3b5d308a8ebbbc,0
2023-01-01 00:52:00+00:00,0da3d349862b7ee7,0
2023-01-01 00:53:00+00:00,303080b28807e10e,0
2023-01-01 00:54:00+00:00,d64d6c7faadae2de,0
2023-01-01 00:55:00+00:00,81f22c698af15e46,0
2023-01-01 00:56:00+00:00,285f9b1234735441,0
2023-01-01 00:57:00+00:00,03994fe96bec7157,0
2023-01-01 00:58:00+00:00,b0a15b841c1dd0a0,0
2023-01-01 00:59:00+00:00,bef22be590c2851e,0
2023-01-01 01:00:00+00:00,1c6dc86e607c156d,0
2023-01-01 01:01:00+00:00,0d635619636b80b8,0
2023-01-01 01:02:00+00:00,c7625024d92c6adb,0
2023-01-01 01:03:00+00:00,1e9bdbaa33fda9e6,0
2023-01-01 01:04:00+00:00,a566a295cb7680de,0
2023-01-01 01:05:00+00:00,84301c085fd5f878,0
2023-01-01 01:06:00+00:00,dd4301bac970fff3,0
